X,Y,AVG Error,STDDev
120,240,194.98871922935282,45.88832753907417
120,360,165.92806911735636,69.76413774358083
120,480,437.1637316280838,198.39436907011344
240,120,552.0,3.033089705951934e+17
240,240,141.0361390931564,58.010167334595806
240,360,437.68458171719556,380.6171756581866
240,480,208.25830133458163,153.61026101550246
360,120,130.23507305229376,61.10337825973582
360,240,57.73902824454139,25.560559283595964
360,360,69.3591210059085,27.303228303715308
360,480,242.2011022368847,244.3012622482582
480,120,84.99395293857911,46.17402512824527
480,240,116.18765813074386,89.95085251949253
480,360,100.880917196333,54.027222459226685
480,480,46.85940718714359,28.368809597525132
600,120,155.91788756991656,81.06885061787078
600,360,227.59706093180284,93.97018995456862
600,480,117.12017141212165,115.0580855119903
720,120,146.81763996476025,41.5617182466203
720,240,552.0,2.7949155937522524e+16
720,360,196.37330871946375,83.87396979254214
720,480,281.1351443523888,274.43481147531276
840,120,129.59094691399156,73.78824745959278
840,240,86.35020986307927,38.28053339561415
840,360,160.4155281862484,85.59811938021151
840,480,552.0,1.0005617193016794e+17
960,120,329.56572910028837,237.1662292941444
960,240,552.0,969.7248138110002
960,360,492.4781168546095,672.4761704880061
960,480,552.0,8.105255181592883e+16
1080,120,552.0,2.070644723446732e+17
1080,240,289.80275768997575,96.05133349352333
1080,360,371.1288017326744,608.324731379525
1080,480,552.0,1.830438859041131e+16
