GT time, NAN, PATH start, PATH end, GT x, GT y, PATH x, PATH y, PATH qx, PATH qy, distance
1670598719949, -1, 1670598719941, 1670598719961, 240, 360, 324, 347, 300, 360, 85.0
1670598722480, -1, 1670598722468, 1670598722482, 240, 240, 309, 143, 300, 120, 119.03780911962384
1670598724965, -1, 1670598724959, 1670598724976, 240, 120, 673, -225, 660, -240, 553.6370652331724
1670598727811, -1, 1670598727811, 1670598727829, 360, 120, 486, 66, 480, 60, 137.08391590555036
1670598730640, -1, 1670598730624, 1670598730645, 480, 120, 451, 23, 480, 0, 101.24228365658294
1670598733558, -1, 1670598766078, 1670598766103, 600, 120, 592, -297, 600, -300, 417.0767315494836
1670598736388, -1, 1670598736383, 1670598736411, 600, 240, 573, 194, 600, 180, 53.33854141237835
1670598739204, -1, 1670598739189, 1670598739205, 600, 360, 554, 738, 540, 720, 380.7886552931954
1670598742230, -1, 1670598742230, 1670598742251, 600, 480, 575, 508, 600, 480, 37.53664875824692
1670598745197, -1, 1670598745194, 1670598745213, 720, 480, 664, 533, 660, 540, 77.10382610480494
1670598748124, -1, 1670598748119, 1670598748133, 840, 480, 842, 564, 840, 540, 84.02380615040002
1670598751233, -1, 1670598751190, 1670598751235, 960, 480, 551, 732, 540, 720, 480.4008742706449
1670598754504, -1, 1670598754443, 1670598754504, 960, 360, 799, 367, 780, 360, 161.15210206509875
1670598757624, -1, 1670598757605, 1670598757629, 960, 240, 799, 188, 780, 180, 169.1892431568863
1670598760520, -1, 1670598760479, 1670598760537, 960, 120, 734, 35, 720, 60, 241.4560001325293
