Time Start, Time End, x, y, Qx, Qy
1670598712042, 1670598712051, 400.7580907523762, 498.93783449352355, 420.0, 480.0
1670598712060, 1670598712083, 400.7580907523762, 498.93783449352355, 420.0, 480.0
1670598712090, 1670598712107, 404.18911066022275, 503.65597168699827, 420.0, 480.0
1670598712114, 1670598712137, 244.326575772066, 361.6317282092485, 240.0, 360.0
1670598712145, 1670598712164, 148.40905483917197, 276.4171821225986, 120.0, 300.0
1670598712185, 1670598712199, -13.236846555779172, 110.71837818362596, 0.0, 120.0
1670598712201, 1670598712222, -49.56653932689516, 74.9715694769182, -60.0, 60.0
1670598712237, 1670598712257, -76.81380890523215, 48.16146294688739, -60.0, 60.0
1670598712264, 1670598712285, -77.76702991888027, 50.74287641741933, -60.0, 60.0
1670598712294, 1670598712310, -78.52960672979877, 52.80800719384489, -60.0, 60.0
1670598712319, 1670598712339, -79.15353321145936, 54.49765964728398, -60.0, 60.0
1670598712347, 1670598712366, -79.67347194617652, 55.90570335848322, -60.0, 60.0
1670598712378, 1670598712420, -80.11342010632181, 57.097124960267195, -60.0, 60.0
1670598712429, 1670598712446, -93.61349642672528, 44.18833504903622, -120.0, 60.0
1670598712455, 1670598712481, -105.31356257107494, 33.00071712596937, -120.0, 60.0
1670598712482, 1670598712539, -150.1244525900582, -7.400223176091407, -180.0, 0.0
1670598712561, 1670598712601, -231.86345311417108, -86.35225406134613, -240.0, -60.0
1670598712612, 1670598712626, -314.28865761985327, -166.2479123852958, -300.0, -180.0
1670598712633, 1670598712649, -354.55422333867693, -207.7272268376719, -360.0, -180.0
1670598712658, 1670598712711, -295.78773468709335, -147.77165918113874, -300.0, -120.0
1670598712711, 1670598712786, -286.8966662222279, -125.99392687549602, -300.0, -120.0
1670598712794, 1670598712810, -272.8739898153125, -104.36206707306901, -300.0, -120.0
1670598712822, 1670598712859, -300.9110318555766, -121.13542535062021, -300.0, -120.0
1670598712866, 1670598712894, -214.22668169767556, -38.26084670690573, -240.0, -60.0
1670598712910, 1670598712923, -127.54233153977452, 44.613731936808755, -120.0, 60.0
1670598712933, 1670598712939, -78.76705827914691, 95.5136204996302, -60.0, 120.0
1670598712954, 1670598712972, -29.991785018519302, 146.41350906245165, 0.0, 120.0
1670598712982, 1670598712996, 18.783488242108312, 197.31339762527313, 0.0, 180.0
1670598713010, 1670598713022, 79.80687420699627, 261.21462738667066, 60.0, 240.0
1670598713024, 1670598713050, 140.83026017188422, 325.1158571480682, 120.0, 300.0
1670598713054, 1670598713065, 202.00636419946568, 387.91377599216054, 180.0, 360.0
1670598713078, 1670598713093, 338.01965562945014, 521.2374755003399, 360.0, 540.0
1670598713103, 1670598713116, 474.0329470594346, 654.5611750085192, 480.0, 660.0
1670598713132, 1670598713144, 611.9105570686839, 787.9906071285188, 600.0, 780.0
1670598713158, 1670598713207, 590.8796815258474, 769.4957644010467, 600.0, 780.0
1670598713210, 1670598713241, 658.7574830734329, 832.9377423210447, 660.0, 840.0
1670598713257, 1670598713284, 703.0920143349507, 874.9216845664351, 720.0, 900.0
1670598713287, 1670598713316, 789.486264043648, 955.3108448918039, 780.0, 960.0
1670598713338, 1670598713353, 748.0808818202117, 921.9564356831421, 720.0, 900.0
1670598713371, 1670598713384, 706.6754995967755, 888.6020264744805, 720.0, 900.0
1670598713386, 1670598713408, 684.3511528187452, 870.2633244469752, 660.0, 900.0
1670598713414, 1670598713437, 601.4479704098745, 797.8138654488519, 600.0, 780.0
1670598713439, 1670598713452, 518.7014287186181, 724.2265611728527, 540.0, 720.0
1670598713463, 1670598713478, 435.9548870273617, 650.6392568968536, 420.0, 660.0
1670598713492, 1670598713515, 353.20834533610525, 577.0519526208544, 360.0, 600.0
1670598713518, 1670598713636, 331.2631986677422, 555.5616792301502, 360.0, 540.0
1670598713653, 1670598713690, 324.88628190630084, 544.2193446321709, 300.0, 540.0
1670598713697, 1670598713725, 204.3247979975807, 437.5684824859278, 180.0, 420.0
1670598713738, 1670598713752, 82.82683534729178, 330.8977604094874, 60.0, 360.0
1670598713767, 1670598713784, 21.20530387868155, 274.71643107160946, 0.0, 300.0
1670598713799, 1670598713842, -40.369129517757216, 218.331759056301, -60.0, 240.0
1670598713854, 1670598713872, -120.4600110753078, 144.99990463562176, -120.0, 120.0
1670598713880, 1670598713898, -200.55089263285842, 71.66805021494255, -180.0, 60.0
1670598713908, 1670598713943, -218.9997339750586, 51.557495952006924, -240.0, 60.0
1670598713943, 1670598713984, -177.4151478625442, 83.77046269033151, -180.0, 60.0
1670598713997, 1670598714017, -145.4355300732524, 108.97886301233187, -120.0, 120.0
1670598714026, 1670598714043, -52.87707665312037, 188.2980203049503, -60.0, 180.0
1670598714052, 1670598714089, 39.52473604939751, 268.7550228754445, 60.0, 240.0
1670598714121, 1670598714145, 131.9265487519154, 349.21202544593876, 120.0, 360.0
1670598714145, 1670598714198, 211.43549646934167, 420.26584776328616, 240.0, 420.0
1670598714213, 1670598714248, 219.97594479269168, 429.3553790777614, 240.0, 420.0
1670598714250, 1670598714272, 175.0390863118465, 396.3222815186186, 180.0, 420.0
1670598714274, 1670598714289, 243.9010666425489, 459.7698250046949, 240.0, 480.0
1670598714303, 1670598714323, 312.8184834195615, 524.3153002066207, 300.0, 540.0
1670598714326, 1670598714348, 381.7359001965741, 588.8607754085465, 360.0, 600.0
1670598714351, 1670598714375, 450.65331697358675, 653.4062506104722, 480.0, 660.0
1670598714384, 1670598714421, 519.1545111847032, 717.478238004959, 540.0, 720.0
1670598714429, 1670598714526, 586.0199223652633, 781.9933051668783, 600.0, 780.0
