GT time, NAN, PATH start, PATH end, GT x, GT y, PATH x, PATH y, PATH qx, PATH qy, distance
1670598719949, -1, 1670598719941, 1670598719961, 240, 360, 326, 397, 300, 420, 93.62157870918435
1670598722480, -1, 1670598722468, 1670598722482, 240, 240, 341, 143, 360, 120, 140.03570973148243
1670598724965, -1, 1670598724959, 1670598724976, 240, 120, 453, -54, 480, -60, 275.0363612324741
1670598727811, -1, 1670598727811, 1670598727829, 360, 120, 456, 111, 480, 120, 96.42095207992918
1670598730640, -1, 1670598730624, 1670598730645, 480, 120, 461, 37, 480, 60, 85.14693182963201
1670598733558, -1, 1670598766078, 1670598766103, 600, 120, 694, -146, 720, -120, 282.1205416129779
1670598736388, -1, 1670598736383, 1670598736411, 600, 240, 577, 161, 600, 180, 82.28000972289685
1670598739204, -1, 1670598739189, 1670598739205, 600, 360, 559, 553, 540, 540, 197.3068675946177
1670598742230, -1, 1670598742230, 1670598742251, 600, 480, 568, 506, 540, 480, 41.23105625617661
1670598745197, -1, 1670598745194, 1670598745213, 720, 480, 645, 554, 660, 540, 105.3612832116238
1670598748124, -1, 1670598748119, 1670598748133, 840, 480, 826, 530, 840, 540, 51.92301994298868
1670598751233, -1, 1670598751190, 1670598751235, 960, 480, 270, 942, 300, 960, 830.3878611829534
1670598754504, -1, 1670598754443, 1670598754504, 960, 360, 790, 387, 780, 360, 172.13076424625552
1670598757624, -1, 1670598757605, 1670598757629, 960, 240, 799, 163, 780, 180, 178.46568297574746
1670598760520, -1, 1670598760479, 1670598760537, 960, 120, 787, 70, 780, 60, 180.08053753806934
